211501;653484;15573
211502;653417;3743
211505;653371;15932
211507;653371;3151
211508;653417;3738
211509;652836;2865
211510;652836;2865
211511;652836;2865
211513;652836;14474
211514;653509;18
211516;653499;15263
211517;653471;2634
211518;653471;2633
211519;653471;2633
211520;653537;13244
211524;653549;14206
211526;653544;15111
211529;653515;15294
211530;653558;15753
211531;653573;13755
211532;653585;9609
211533;653573;13763
211534;653249;15764
211535;653577;15135
211536;653515;2029
211538;653591;1940
211539;653579;15720
211540;653584;13133
211541;653585;9620
211542;653598;15753
211543;653585;9611
211545;653627;15111
211546;653620;14067
211547;653498;13064
211549;653579;3039
211550;653638;13081
211557;653579;3039
211560;653498;13064
211564;653689;2975
211567;653687;13046
211570;653668;15605
211571;653695;2015
211572;653710;12587
211573;653710;15315
211574;653668;15605
211575;653695;2712
211578;653733;13081
211580;653710;15420
211583;653710;15886
211584;653710;15084
211585;653710;811
211586;653710;14668
211587;653710;2222
211588;653710;2129
211590;653710;1500
211591;653312;14071
211593;653498;14071
211594;653766;2948
211595;653771;12573
211596;653706;13796
211598;653773;15315
211600;653766;13873
211603;653781;1881
211605;653784;13344
211606;653766;13872
211609;653706;2712
211612;653805;2712
211614;653710;1500
211615;653710;12587
211616;653710;2129
211617;653710;2222
211618;653710;811
211619;653710;15084
211620;653710;14668
211621;653710;15886
211622;653710;15420
211623;653710;15315
211625;653485;15315
211631;653827;12587
211633;653856;2600
211634;653693;12587
211635;653693;12587
211637;653867;2899
211638;653693;12587
211639;653693;12587
211640;653856;2600
211645;653879;1881
211646;653859;13081
211647;653888;15336
211650;653890;15753
211651;653249;15764
211652;653827;1881
211653;653899;14049
211654;653899;14049
211656;653899;14049
211657;653890;15420
211658;653249;15763
211660;653890;15420
211661;653941;13244
211664;653864;15647
211669;653947;15191
211670;653946;14477
211672;653946;14477
211674;653946;14477
211675;653946;14477
211676;653940;13064
211678;653943;14067
211680;653943;14
211682;653890;15420
211683;653943;13796
211685;653935;1881
211686;653938;15315
211687;653962;13081
211688;653890;15420
211689;653970;14208
211690;653827;15315
211691;653970;14205
211693;653105;3151
211694;653981;13813
211695;653465;2753
211697;653977;13539
211698;653827;15084
211699;653465;1531
211700;654001;14833
211702;654008;14409
211704;653465;2750
211705;653465;1527
211706;653977;15659
211707;653827;15888
211708;653986;13077
211709;653964;15753
211710;654025;2899
211711;654009;2015
211713;654029;14502
211716;654036;2979
211717;653402;12587
211718;654036;2159
211719;653964;15753
211720;654036;4450
211721;654036;4450
211723;653946;14474
211724;654036;4447
211725;654036;4447
211726;653827;15753
211727;654001;14833
211729;653964;782
211730;654037;14474
211735;654059;15275
211736;653964;1881
211739;654068;14071
211742;654073;2694
211743;654073;15134
211745;654059;15276
211746;654059;15271
211747;654080;1881
211748;653827;13813
211749;654009;13796
211750;653549;14208
211751;654009;2712
211752;654033;15111
211753;654037;2865
211758;654090;2870
211759;654083;3151
211760;654066;2643
211761;654009;15646
211762;653992;5357
211763;654009;2712
211765;653598;1881
211766;653827;15084
211767;654130;14920
211768;654009;14071
211769;653992;5348
211770;653944;2641
211771;654033;1881
211772;654142;13077
211780;654130;12974
211782;653827;1881
211783;654130;12516
211784;654118;13482
211788;654171;1881
211789;654180;2330
211790;654169;14071
