76258	321850	14334
76259	321850	14334
76264	321919	8422
76265	321919	1456
76267	321919	10210
76269	321933	13813
76273	321856	2865
76274	321763	1881
76276	321405	3281
76277	321405	3281
76281	321969	15634
76284	321972	14521
76285	321850	13064
76286	321969	14054
76287	321985	13084
76288	321990	15271
76291	322000	2609
76292	322000	2614
76293	321991	2899
76296	321850	14071
76299	321990	15271
76307	321997	15232
76310	321624	14196
76311	322030	2907
76314	322047	2858
76316	322071	13872
76320	322093	3051
76324	322040	12587
76325	322106	13303
76327	321938	10101
76328	322092	12587
76329	322106	2643
76331	322126	14071
76333	322003	13796
76334	322128	13796
76335	322128	13796
76336	322128	13796
76337	322003	14067
76338	322160	780
76340	322177	2907
76341	322181	2865
76342	322181	13053
76343	322177	14034
76344	322160	783
76345	322150	12516
76347	322191	3051
76348	322177	14033
76349	322150	12516
76351	322150	14545
76352	322203	1500
76353	322203	13812
76354	322203	2709
76355	322203	1055
76356	322160	15699
76360	322168	2899
76366	321906	15387
76367	322235	14036
76369	322258	15249
76372	322258	15084
76374	322258	15699
76376	322286	3041
76377	322274	13763
76378	322278	2577
76380	322293	15765
76381	322274	13764
76382	322303	15461
76383	322278	14919
76384	322305	13194
76386	322318	2712
76387	322318	13430
76389	322286	3046
76390	322318	15647
76391	322318	15646
76397	322303	15464
76398	322274	2607
76400	322354	14334
76402	322354	14071
76405	322343	13812
76406	322375	13310
76408	322077	13194
76409	322384	811
76411	322385	12587
76414	322398	2858
76416	322403	2948
76418	322343	853
76420	322331	14053
76421	322363	2858
76422	322414	3173
76423	322363	13064
76424	322392	14071
76425	322387	12587
76426	322424	13077
76428	322433	13077
76429	322432	14031
76430	322414	12516
76431	322424	13077
76436	322363	14334
76437	322387	15633
76438	322424	13813
76440	322363	15135
76441	322465	2712
76443	322465	15646
76444	322387	15332
76445	322461	14698
76446	322363	15305
76447	322363	15306
76448	322465	650
76449	321405	3281
76450	321405	3281
76453	322424	12563
76454	322484	3173
76456	322489	2600
76457	322363	13796
76458	322424	15753
76459	322514	13634
76461	322484	12516
76462	322530	7399
76463	322111	13310
76464	322387	12587
76465	322509	13430
76467	322560	1881
76468	322363	15373
76471	322565	14071
76473	322560	13813
76474	322565	13064
76475	321985	13084
76476	322565	13796
76477	322581	10809
76480	322565	2712
76482	322481	14474
76484	322581	12512
